样本编号,真实锚点账户,真实关联账户,真实路径,内部关联评分,关联账户模型风险分,关联账户标签,命中广义已知风险,内部解释校验通过
LINK-020,318,9931,"[""318"", ""7629"", ""9931""]",0.404078756372382,0.002658644750933352,0,0,True
LINK-021,318,4704,"[""318"", ""7629"", ""4704""]",0.4047398454271033,0.0026463670086711547,0,0,True
LINK-022,1740,4610,"[""1740"", ""3863"", ""6088"", ""4610""]",0.42524515681361885,0.00265973614903565,0,0,True
LINK-023,3900,9041,"[""3900"", ""4185"", ""9041""]",0.46233761806261553,0.0026463670086711547,0,0,True
LINK-024,4379,10973,"[""4379"", ""10662"", ""2325"", ""10973""]",0.43982042364132906,0.0026463670086711547,0,0,True
LINK-025,318,7629,"[""318"", ""7629""]",0.40513015147877196,0.0026463670086711547,0,0,True
LINK-026,4379,10446,"[""4379"", ""10662"", ""2325"", ""10446""]",0.469745142698912,0.0026685532231141935,0,0,True
LINK-027,318,49,"[""318"", ""7629"", ""49""]",0.39886006501371885,0.002658644750933352,0,0,True
LINK-028,3900,2543,"[""3900"", ""4185"", ""2543""]",0.45176410981815307,0.0026463670086711547,0,0,True
LINK-029,1740,730,"[""1740"", ""3863"", ""6088"", ""730""]",0.4280837005772927,0.0026463670086711547,0,0,True
LINK-030,4379,9162,"[""4379"", ""10662"", ""2325"", ""9162""]",0.4468151896814779,0.0026463670086711547,0,0,True
LINK-031,318,7423,"[""318"", ""7629"", ""7423""]",0.40346672992042465,0.002658644750933352,0,0,True
LINK-032,4379,1284,"[""4379"", ""10662"", ""2325"", ""1284""]",0.44043877544319276,0.0026463670086711547,0,0,True
LINK-033,1740,2181,"[""1740"", ""3863"", ""6088"", ""2181""]",0.42491619805734027,0.0027016183122723606,0,0,True
LINK-034,4379,10500,"[""4379"", ""10662"", ""10500""]",0.4425685194092393,0.002660939362750395,0,0,True
LINK-035,4379,9150,"[""4379"", ""10662"", ""2325"", ""9150""]",0.43996358119501966,0.002658644750933352,0,0,True
LINK-036,318,4866,"[""318"", ""7629"", ""4866""]",0.4020372675324363,0.002658644750933352,0,0,True
LINK-037,1740,8260,"[""1740"", ""3863"", ""6088"", ""8260""]",0.4226824746421688,0.0026463670086711547,0,0,True
LINK-038,1740,3483,"[""1740"", ""3863"", ""6088"", ""3483""]",0.42331558008741466,0.0026777640149683066,0,0,True
LINK-039,4379,4085,"[""4379"", ""10662"", ""2325"", ""4085""]",0.44161159365304636,0.0026463670086711547,0,0,True
LINK-040,1740,6714,"[""1740"", ""3863"", ""6088"", ""6714""]",0.4224378664540588,0.0027446992345637623,0,0,True
LINK-041,3900,85,"[""3900"", ""4185"", ""85""]",0.4371613263855295,0.0026463670086711547,0,0,True
LINK-042,1740,9977,"[""1740"", ""3863"", ""6088"", ""9977""]",0.42557819278014186,0.0026777640149683066,0,0,True
LINK-043,318,9215,"[""318"", ""9215""]",0.40513015147877196,0.0026463670086711547,0,0,True
LINK-044,4379,10704,"[""4379"", ""10662"", ""2325"", ""10704""]",0.4503522449490228,0.002658644750933352,0,0,True
LINK-045,3900,4059,"[""3900"", ""4185"", ""4059""]",0.46454808537159964,0.0026463670086711547,0,0,True
LINK-046,318,2180,"[""318"", ""7629"", ""2180""]",0.4252675677006368,0.002658644750933352,0,0,True
LINK-047,3900,6659,"[""3900"", ""4185"", ""6659""]",0.440799128048424,0.0026463670086711547,0,0,True
LINK-048,1740,8983,"[""1740"", ""3863"", ""6088"", ""8983""]",0.4235744999362889,0.0026463670086711547,0,0,True
LINK-049,318,7841,"[""318"", ""7629"", ""7841""]",0.400482862815321,0.002702563814851583,0,0,True
LINK-050,1740,3863,"[""1740"", ""3863""]",0.42551517991797894,0.00266756326140467,0,0,True
LINK-051,4379,7796,"[""4379"", ""10662"", ""2325"", ""7796""]",0.4461247645519093,0.0026463670086711547,0,0,True
LINK-052,1740,308,"[""1740"", ""3863"", ""308""]",0.42960739164325873,0.00266756326140467,0,0,True
LINK-053,4379,7991,"[""4379"", ""10662"", ""2325"", ""7991""]",0.469745142698912,0.0026685532231141935,0,0,True
LINK-054,1740,1075,"[""1740"", ""3863"", ""6088"", ""1075""]",0.42491619805734027,0.0027016183122723606,0,0,True
LINK-055,1740,5710,"[""1740"", ""3863"", ""6088"", ""5710""]",0.42331558008741466,0.0026777640149683066,0,0,True
LINK-056,318,6580,"[""318"", ""7629"", ""6580""]",0.404169740118144,0.002658644750933352,0,0,True
LINK-057,4379,10742,"[""4379"", ""10662"", ""2325"", ""10742""]",0.4515861758143743,0.0026463670086711547,0,0,True
LINK-058,1740,9562,"[""1740"", ""3863"", ""9562""]",0.48630048847306373,0.0026463670086711547,0,0,True
LINK-059,1740,10100,"[""1740"", ""3863"", ""6088"", ""10100""]",0.4209313558449262,0.0026463670086711547,0,0,True
LINK-060,3900,5984,"[""3900"", ""4185"", ""5984""]",0.43674663554778226,0.0026463670086711547,0,0,True
LINK-061,3900,10002,"[""3900"", ""4185"", ""10002""]",0.44070304336556654,0.0026463670086711547,0,0,True
LINK-062,3900,2095,"[""3900"", ""4185"", ""2095""]",0.4491811611916797,0.0026463670086711547,0,0,True
LINK-063,318,1505,"[""318"", ""7629"", ""1505""]",0.3964996342548711,0.002658644750933352,0,0,True
LINK-064,318,1428,"[""318"", ""7629"", ""1428""]",0.4047398454271033,0.0026463670086711547,0,0,True
LINK-065,3900,8587,"[""3900"", ""4185"", ""8587""]",0.43674663554778226,0.0026463670086711547,0,0,True
LINK-066,1740,6088,"[""1740"", ""3863"", ""6088""]",0.48630048847306373,0.0026463670086711547,0,0,True
LINK-067,4379,10227,"[""4379"", ""10662"", ""2325"", ""10227""]",0.46138106453762756,0.0026463670086711547,0,0,True
LINK-068,3900,8309,"[""3900"", ""4185"", ""8309""]",0.45245918013412356,0.0026463670086711547,0,0,True
LINK-069,318,4883,"[""318"", ""7629"", ""4883""]",0.39922421165516264,0.002658644750933352,0,0,True
LINK-070,7265,1137,"[""7265"", ""1137""]",0.37054449631149067,0.0034046369710951916,0,0,True
LINK-071,4379,8284,"[""4379"", ""10662"", ""2325"", ""8284""]",0.4468151896814779,0.0026463670086711547,0,0,True
LINK-072,7265,10502,"[""7265"", ""1137"", ""10502""]",0.34109812122392014,0.005934108929708216,2,1,True
LINK-073,1740,11005,"[""1740"", ""3863"", ""6088"", ""11005""]",0.4226824746421688,0.0026463670086711547,0,0,True
LINK-074,3900,945,"[""3900"", ""4185"", ""945""]",0.43682424521322916,0.002658644750933352,0,0,True
LINK-075,4379,2325,"[""4379"", ""10662"", ""2325""]",0.48264791561277703,0.0026685532231141935,0,0,True
LINK-076,7265,7238,"[""7265"", ""7238""]",0.37054449631149067,0.0034046369710951916,0,0,True
LINK-077,1740,8894,"[""1740"", ""3863"", ""6088"", ""8894""]",0.425240476778707,0.0026463670086711547,0,0,True
LINK-078,318,3752,"[""318"", ""7629"", ""3752""]",0.40040231973519125,0.002675126243415831,0,0,True
LINK-079,4379,9151,"[""4379"", ""10662"", ""2325"", ""9151""]",0.4430853636966938,0.0026463670086711547,0,0,True
LINK-080,4379,718,"[""4379"", ""10662"", ""2325"", ""718""]",0.442582076485038,0.0026463670086711547,0,0,True
LINK-081,3900,2982,"[""3900"", ""4185"", ""4059"", ""2982""]",0.46343246847035147,0.0026670737829726,0,0,True
LINK-082,4379,3055,"[""4379"", ""10662"", ""2325"", ""3055""]",0.44238969984754234,0.0026463670086711547,0,0,True
LINK-083,1740,7838,"[""1740"", ""7838""]",0.42551517991797894,0.00266756326140467,0,0,True
LINK-084,4379,4481,"[""4379"", ""10662"", ""4481""]",0.43965395858178447,0.002660939362750395,0,0,True
