样本编号,审核席位,匿名锚点账户,匿名关联账户,路径跳数,匿名资金路径,路径交易笔数,路径累计绝对金额,路径最近交易时间,是否同一图社区,双向关系数量,关系证据摘要,解释合理性,是否值得进一步核查,证据充分性,不合理/不足原因,补充意见,审核人,审核时间
LINK-006,A,A00022,A00009,2,A00022 → A00091 → A00009,22,8542438.0,2025-12-25T10:43:24.000,是,0,"2跳关系；路径累计22笔；累计绝对金额8,542,438.00元；最近交易2025-12-25 10:43:24；同社区=是；双向关系0条",,,,,,,
LINK-006,B,A00022,A00009,2,A00022 → A00091 → A00009,22,8542438.0,2025-12-25T10:43:24.000,是,0,"2跳关系；路径累计22笔；累计绝对金额8,542,438.00元；最近交易2025-12-25 10:43:24；同社区=是；双向关系0条",,,,,,,
LINK-007,A,A00022,A00007,2,A00022 → A00091 → A00007,49,1210334.0,2025-12-11T14:07:41.000,是,0,"2跳关系；路径累计49笔；累计绝对金额1,210,334.00元；最近交易2025-12-11 14:07:41；同社区=是；双向关系0条",,,,,,,
LINK-007,B,A00022,A00007,2,A00022 → A00091 → A00007,49,1210334.0,2025-12-11T14:07:41.000,是,0,"2跳关系；路径累计49笔；累计绝对金额1,210,334.00元；最近交易2025-12-11 14:07:41；同社区=是；双向关系0条",,,,,,,
LINK-008,A,A00045,A00011,2,A00045 → A00074 → A00011,176,2423792223.67,2025-12-31T15:32:57.000,是,2,"2跳关系；路径累计176笔；累计绝对金额2,423,792,223.67元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-008,B,A00045,A00011,2,A00045 → A00074 → A00011,176,2423792223.67,2025-12-31T15:32:57.000,是,2,"2跳关系；路径累计176笔；累计绝对金额2,423,792,223.67元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-009,A,A00022,A00003,2,A00022 → A00091 → A00003,33,6009057.0,2025-12-30T15:52:06.000,是,0,"2跳关系；路径累计33笔；累计绝对金额6,009,057.00元；最近交易2025-12-30 15:52:06；同社区=是；双向关系0条",,,,,,,
LINK-009,B,A00022,A00003,2,A00022 → A00091 → A00003,33,6009057.0,2025-12-30T15:52:06.000,是,0,"2跳关系；路径累计33笔；累计绝对金额6,009,057.00元；最近交易2025-12-30 15:52:06；同社区=是；双向关系0条",,,,,,,
LINK-010,A,A00022,A00002,3,A00022 → A00091 → A00021 → A00002,99,26743682.0,2025-12-25T13:54:23.000,是,0,"3跳关系；路径累计99笔；累计绝对金额26,743,682.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-010,B,A00022,A00002,3,A00022 → A00091 → A00021 → A00002,99,26743682.0,2025-12-25T13:54:23.000,是,0,"3跳关系；路径累计99笔；累计绝对金额26,743,682.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-011,A,A00022,A00038,2,A00022 → A00091 → A00038,49,1210334.0,2025-12-11T14:07:41.000,是,0,"2跳关系；路径累计49笔；累计绝对金额1,210,334.00元；最近交易2025-12-11 14:07:41；同社区=是；双向关系0条",,,,,,,
LINK-011,B,A00022,A00038,2,A00022 → A00091 → A00038,49,1210334.0,2025-12-11T14:07:41.000,是,0,"2跳关系；路径累计49笔；累计绝对金额1,210,334.00元；最近交易2025-12-11 14:07:41；同社区=是；双向关系0条",,,,,,,
LINK-012,A,A00078,A00035,2,A00078 → A00012 → A00035,81,7493981.03,2025-12-15T15:41:00.000,是,0,"2跳关系；路径累计81笔；累计绝对金额7,493,981.03元；最近交易2025-12-15 15:41:00；同社区=是；双向关系0条",,,,,,,
LINK-012,B,A00078,A00035,2,A00078 → A00012 → A00035,81,7493981.03,2025-12-15T15:41:00.000,是,0,"2跳关系；路径累计81笔；累计绝对金额7,493,981.03元；最近交易2025-12-15 15:41:00；同社区=是；双向关系0条",,,,,,,
LINK-013,A,A00022,A00048,3,A00022 → A00091 → A00021 → A00048,93,330222620.1,2025-12-25T13:54:23.000,是,0,"3跳关系；路径累计93笔；累计绝对金额330,222,620.10元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-013,B,A00022,A00048,3,A00022 → A00091 → A00021 → A00048,93,330222620.1,2025-12-25T13:54:23.000,是,0,"3跳关系；路径累计93笔；累计绝对金额330,222,620.10元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-014,A,A00045,A00077,2,A00045 → A00074 → A00077,63,63908480.0,2025-12-30T15:29:42.000,是,2,"2跳关系；路径累计63笔；累计绝对金额63,908,480.00元；最近交易2025-12-30 15:29:42；同社区=是；双向关系2条",,,,,,,
LINK-014,B,A00045,A00077,2,A00045 → A00074 → A00077,63,63908480.0,2025-12-30T15:29:42.000,是,2,"2跳关系；路径累计63笔；累计绝对金额63,908,480.00元；最近交易2025-12-30 15:29:42；同社区=是；双向关系2条",,,,,,,
LINK-015,A,A00078,A00044,2,A00078 → A00012 → A00044,16,1046992.13,2025-12-29T14:24:49.000,是,1,"2跳关系；路径累计16笔；累计绝对金额1,046,992.13元；最近交易2025-12-29 14:24:49；同社区=是；双向关系1条",,,,,,,
LINK-015,B,A00078,A00044,2,A00078 → A00012 → A00044,16,1046992.13,2025-12-29T14:24:49.000,是,1,"2跳关系；路径累计16笔；累计绝对金额1,046,992.13元；最近交易2025-12-29 14:24:49；同社区=是；双向关系1条",,,,,,,
LINK-016,A,A00078,A00068,2,A00078 → A00012 → A00068,105,7726095.970000001,2025-12-15T15:22:23.000,是,0,"2跳关系；路径累计105笔；累计绝对金额7,726,095.97元；最近交易2025-12-15 15:22:23；同社区=是；双向关系0条",,,,,,,
LINK-016,B,A00078,A00068,2,A00078 → A00012 → A00068,105,7726095.970000001,2025-12-15T15:22:23.000,是,0,"2跳关系；路径累计105笔；累计绝对金额7,726,095.97元；最近交易2025-12-15 15:22:23；同社区=是；双向关系0条",,,,,,,
LINK-017,A,A00004,A00060,3,A00004 → A00079 → A00032 → A00060,412,40070733.39,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计412笔；累计绝对金额40,070,733.39元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-017,B,A00004,A00060,3,A00004 → A00079 → A00032 → A00060,412,40070733.39,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计412笔；累计绝对金额40,070,733.39元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-018,A,A00078,A00089,2,A00078 → A00012 → A00089,54,381376.24,2025-12-23T14:42:02.000,是,0,"2跳关系；路径累计54笔；累计绝对金额381,376.24元；最近交易2025-12-23 14:42:02；同社区=是；双向关系0条",,,,,,,
LINK-018,B,A00078,A00089,2,A00078 → A00012 → A00089,54,381376.24,2025-12-23T14:42:02.000,是,0,"2跳关系；路径累计54笔；累计绝对金额381,376.24元；最近交易2025-12-23 14:42:02；同社区=是；双向关系0条",,,,,,,
LINK-019,A,A00022,A00080,2,A00022 → A00091 → A00080,9,332240.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额332,240.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-019,B,A00022,A00080,2,A00022 → A00091 → A00080,9,332240.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额332,240.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-020,A,A00078,A00064,2,A00078 → A00012 → A00064,25,1895152.2899999998,2025-12-26T14:44:27.000,是,0,"2跳关系；路径累计25笔；累计绝对金额1,895,152.29元；最近交易2025-12-26 14:44:27；同社区=是；双向关系0条",,,,,,,
LINK-020,B,A00078,A00064,2,A00078 → A00012 → A00064,25,1895152.2899999998,2025-12-26T14:44:27.000,是,0,"2跳关系；路径累计25笔；累计绝对金额1,895,152.29元；最近交易2025-12-26 14:44:27；同社区=是；双向关系0条",,,,,,,
LINK-021,A,A00078,A00083,2,A00078 → A00012 → A00083,17,597905.9,2025-12-10T10:08:24.000,是,0,"2跳关系；路径累计17笔；累计绝对金额597,905.90元；最近交易2025-12-10 10:08:24；同社区=是；双向关系0条",,,,,,,
LINK-021,B,A00078,A00083,2,A00078 → A00012 → A00083,17,597905.9,2025-12-10T10:08:24.000,是,0,"2跳关系；路径累计17笔；累计绝对金额597,905.90元；最近交易2025-12-10 10:08:24；同社区=是；双向关系0条",,,,,,,
LINK-022,A,A00004,A00084,3,A00004 → A00079 → A00032 → A00084,394,40626745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-022,B,A00004,A00084,3,A00004 → A00079 → A00032 → A00084,394,40626745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,626,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-023,A,A00022,A00090,2,A00022 → A00091 → A00090,22,8542438.0,2025-12-25T10:43:24.000,是,0,"2跳关系；路径累计22笔；累计绝对金额8,542,438.00元；最近交易2025-12-25 10:43:24；同社区=是；双向关系0条",,,,,,,
LINK-023,B,A00022,A00090,2,A00022 → A00091 → A00090,22,8542438.0,2025-12-25T10:43:24.000,是,0,"2跳关系；路径累计22笔；累计绝对金额8,542,438.00元；最近交易2025-12-25 10:43:24；同社区=是；双向关系0条",,,,,,,
LINK-024,A,A00045,A00006,3,A00045 → A00074 → A00056 → A00006,208,2899114712.02,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计208笔；累计绝对金额2,899,114,712.02元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-024,B,A00045,A00006,3,A00045 → A00074 → A00056 → A00006,208,2899114712.02,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计208笔；累计绝对金额2,899,114,712.02元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-025,A,A00078,A00012,1,A00078 → A00012,3,4501.9,2025-11-12T15:05:34.000,是,0,"1跳关系；路径累计3笔；累计绝对金额4,501.90元；最近交易2025-11-12 15:05:34；同社区=是；双向关系0条",,,,,,,
LINK-025,B,A00078,A00012,1,A00078 → A00012,3,4501.9,2025-11-12T15:05:34.000,是,0,"1跳关系；路径累计3笔；累计绝对金额4,501.90元；最近交易2025-11-12 15:05:34；同社区=是；双向关系0条",,,,,,,
LINK-026,A,A00045,A00071,3,A00045 → A00074 → A00056 → A00071,194,18324853613.33,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计194笔；累计绝对金额18,324,853,613.33元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-026,B,A00045,A00071,3,A00045 → A00074 → A00056 → A00071,194,18324853613.33,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计194笔；累计绝对金额18,324,853,613.33元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-027,A,A00078,A00017,2,A00078 → A00012 → A00017,46,19882739.619999997,2025-12-15T15:39:36.000,是,0,"2跳关系；路径累计46笔；累计绝对金额19,882,739.62元；最近交易2025-12-15 15:39:36；同社区=是；双向关系0条",,,,,,,
LINK-027,B,A00078,A00017,2,A00078 → A00012 → A00017,46,19882739.619999997,2025-12-15T15:39:36.000,是,0,"2跳关系；路径累计46笔；累计绝对金额19,882,739.62元；最近交易2025-12-15 15:39:36；同社区=是；双向关系0条",,,,,,,
LINK-028,A,A00022,A00047,2,A00022 → A00091 → A00047,9,5055500.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额5,055,500.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-028,B,A00022,A00047,2,A00022 → A00091 → A00047,9,5055500.0,2025-12-22T08:24:10.000,是,0,"2跳关系；路径累计9笔；累计绝对金额5,055,500.00元；最近交易2025-12-22 08:24:10；同社区=是；双向关系0条",,,,,,,
LINK-029,A,A00004,A00016,3,A00004 → A00079 → A00032 → A00016,412,40070733.39,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计412笔；累计绝对金额40,070,733.39元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-029,B,A00004,A00016,3,A00004 → A00079 → A00032 → A00016,412,40070733.39,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计412笔；累计绝对金额40,070,733.39元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-030,A,A00045,A00027,3,A00045 → A00074 → A00056 → A00027,285,4744714641.3,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计285笔；累计绝对金额4,744,714,641.30元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-030,B,A00045,A00027,3,A00045 → A00074 → A00056 → A00027,285,4744714641.3,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计285笔；累计绝对金额4,744,714,641.30元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-031,A,A00078,A00058,2,A00078 → A00012 → A00058,17,3759799.52,2025-12-25T15:03:36.000,是,0,"2跳关系；路径累计17笔；累计绝对金额3,759,799.52元；最近交易2025-12-25 15:03:36；同社区=是；双向关系0条",,,,,,,
LINK-031,B,A00078,A00058,2,A00078 → A00012 → A00058,17,3759799.52,2025-12-25T15:03:36.000,是,0,"2跳关系；路径累计17笔；累计绝对金额3,759,799.52元；最近交易2025-12-25 15:03:36；同社区=是；双向关系0条",,,,,,,
LINK-032,A,A00045,A00053,3,A00045 → A00074 → A00056 → A00053,218,2890599335.54,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计218笔；累计绝对金额2,890,599,335.54元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-032,B,A00045,A00053,3,A00045 → A00074 → A00056 → A00053,218,2890599335.54,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计218笔；累计绝对金额2,890,599,335.54元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-033,A,A00004,A00070,3,A00004 → A00079 → A00032 → A00070,395,40280694.269999996,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额40,280,694.27元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-033,B,A00004,A00070,3,A00004 → A00079 → A00032 → A00070,395,40280694.269999996,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额40,280,694.27元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-034,A,A00045,A00050,2,A00045 → A00074 → A00050,63,63908480.0,2025-12-30T15:29:42.000,是,2,"2跳关系；路径累计63笔；累计绝对金额63,908,480.00元；最近交易2025-12-30 15:29:42；同社区=是；双向关系2条",,,,,,,
LINK-034,B,A00045,A00050,2,A00045 → A00074 → A00050,63,63908480.0,2025-12-30T15:29:42.000,是,2,"2跳关系；路径累计63笔；累计绝对金额63,908,480.00元；最近交易2025-12-30 15:29:42；同社区=是；双向关系2条",,,,,,,
LINK-035,A,A00045,A00024,3,A00045 → A00074 → A00056 → A00024,278,2584751803.25,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计278笔；累计绝对金额2,584,751,803.25元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-035,B,A00045,A00024,3,A00045 → A00074 → A00056 → A00024,278,2584751803.25,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计278笔；累计绝对金额2,584,751,803.25元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-036,A,A00078,A00051,2,A00078 → A00012 → A00051,43,620840.87,2025-12-26T14:00:02.000,是,1,"2跳关系；路径累计43笔；累计绝对金额620,840.87元；最近交易2025-12-26 14:00:02；同社区=是；双向关系1条",,,,,,,
LINK-036,B,A00078,A00051,2,A00078 → A00012 → A00051,43,620840.87,2025-12-26T14:00:02.000,是,1,"2跳关系；路径累计43笔；累计绝对金额620,840.87元；最近交易2025-12-26 14:00:02；同社区=是；双向关系1条",,,,,,,
LINK-037,A,A00004,A00013,3,A00004 → A00079 → A00032 → A00013,395,39897137.05,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额39,897,137.05元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-037,B,A00004,A00013,3,A00004 → A00079 → A00032 → A00013,395,39897137.05,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计395笔；累计绝对金额39,897,137.05元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-038,A,A00004,A00041,3,A00004 → A00079 → A00032 → A00041,394,40088794.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,088,794.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-038,B,A00004,A00041,3,A00004 → A00079 → A00032 → A00041,394,40088794.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计394笔；累计绝对金额40,088,794.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-039,A,A00045,A00057,3,A00045 → A00074 → A00056 → A00057,264,2783837959.94,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计264笔；累计绝对金额2,783,837,959.94元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-039,B,A00045,A00057,3,A00045 → A00074 → A00056 → A00057,264,2783837959.94,2025-12-31T15:32:57.000,是,2,"3跳关系；路径累计264笔；累计绝对金额2,783,837,959.94元；最近交易2025-12-31 15:32:57；同社区=是；双向关系2条",,,,,,,
LINK-040,A,A00004,A00026,3,A00004 → A00079 → A00032 → A00026,402,39714714.19,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计402笔；累计绝对金额39,714,714.19元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-040,B,A00004,A00026,3,A00004 → A00079 → A00032 → A00026,402,39714714.19,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计402笔；累计绝对金额39,714,714.19元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-041,A,A00022,A00020,2,A00022 → A00091 → A00020,9,105200.0,2025-12-22T14:30:49.000,是,0,"2跳关系；路径累计9笔；累计绝对金额105,200.00元；最近交易2025-12-22 14:30:49；同社区=是；双向关系0条",,,,,,,
LINK-041,B,A00022,A00020,2,A00022 → A00091 → A00020,9,105200.0,2025-12-22T14:30:49.000,是,0,"2跳关系；路径累计9笔；累计绝对金额105,200.00元；最近交易2025-12-22 14:30:49；同社区=是；双向关系0条",,,,,,,
LINK-042,A,A00004,A00023,3,A00004 → A00079 → A00032 → A00023,401,175094745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计401笔；累计绝对金额175,094,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-042,B,A00004,A00023,3,A00004 → A00079 → A00032 → A00023,401,175094745.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计401笔；累计绝对金额175,094,745.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-043,A,A00078,A00052,1,A00078 → A00052,3,4501.9,2025-11-12T15:05:34.000,是,0,"1跳关系；路径累计3笔；累计绝对金额4,501.90元；最近交易2025-11-12 15:05:34；同社区=是；双向关系0条",,,,,,,
LINK-043,B,A00078,A00052,1,A00078 → A00052,3,4501.9,2025-11-12T15:05:34.000,是,0,"1跳关系；路径累计3笔；累计绝对金额4,501.90元；最近交易2025-11-12 15:05:34；同社区=是；双向关系0条",,,,,,,
LINK-044,A,A00045,A00019,3,A00045 → A00074 → A00056 → A00019,366,7892978203.24,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计366笔；累计绝对金额7,892,978,203.24元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-044,B,A00045,A00019,3,A00045 → A00074 → A00056 → A00019,366,7892978203.24,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计366笔；累计绝对金额7,892,978,203.24元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-045,A,A00022,A00021,2,A00022 → A00091 → A00021,68,4659742.0,2025-12-25T13:54:23.000,是,0,"2跳关系；路径累计68笔；累计绝对金额4,659,742.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-045,B,A00022,A00021,2,A00022 → A00091 → A00021,68,4659742.0,2025-12-25T13:54:23.000,是,0,"2跳关系；路径累计68笔；累计绝对金额4,659,742.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-046,A,A00078,A00054,2,A00078 → A00012 → A00054,899,20674140.07,2025-12-25T15:04:19.000,是,1,"2跳关系；路径累计899笔；累计绝对金额20,674,140.07元；最近交易2025-12-25 15:04:19；同社区=是；双向关系1条",,,,,,,
LINK-046,B,A00078,A00054,2,A00078 → A00012 → A00054,899,20674140.07,2025-12-25T15:04:19.000,是,1,"2跳关系；路径累计899笔；累计绝对金额20,674,140.07元；最近交易2025-12-25 15:04:19；同社区=是；双向关系1条",,,,,,,
LINK-047,A,A00022,A00033,2,A00022 → A00091 → A00033,36,8581502.0,2025-12-29T10:14:28.000,是,0,"2跳关系；路径累计36笔；累计绝对金额8,581,502.00元；最近交易2025-12-29 10:14:28；同社区=是；双向关系0条",,,,,,,
LINK-047,B,A00022,A00033,2,A00022 → A00091 → A00033,36,8581502.0,2025-12-29T10:14:28.000,是,0,"2跳关系；路径累计36笔；累计绝对金额8,581,502.00元；最近交易2025-12-29 10:14:28；同社区=是；双向关系0条",,,,,,,
LINK-048,A,A00004,A00075,3,A00004 → A00079 → A00032 → A00075,403,39755385.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计403笔；累计绝对金额39,755,385.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-048,B,A00004,A00075,3,A00004 → A00079 → A00032 → A00075,403,39755385.61,2025-12-29T14:10:33.000,是,0,"3跳关系；路径累计403笔；累计绝对金额39,755,385.61元；最近交易2025-12-29 14:10:33；同社区=是；双向关系0条",,,,,,,
LINK-049,A,A00078,A00069,2,A00078 → A00012 → A00069,281,42409827.3,2025-12-09T11:28:37.000,是,0,"2跳关系；路径累计281笔；累计绝对金额42,409,827.30元；最近交易2025-12-09 11:28:37；同社区=是；双向关系0条",,,,,,,
LINK-049,B,A00078,A00069,2,A00078 → A00012 → A00069,281,42409827.3,2025-12-09T11:28:37.000,是,0,"2跳关系；路径累计281笔；累计绝对金额42,409,827.30元；最近交易2025-12-09 11:28:37；同社区=是；双向关系0条",,,,,,,
LINK-050,A,A00004,A00079,1,A00004 → A00079,3,9414.44,2025-12-24T16:35:05.000,是,0,"1跳关系；路径累计3笔；累计绝对金额9,414.44元；最近交易2025-12-24 16:35:05；同社区=是；双向关系0条",,,,,,,
LINK-050,B,A00004,A00079,1,A00004 → A00079,3,9414.44,2025-12-24T16:35:05.000,是,0,"1跳关系；路径累计3笔；累计绝对金额9,414.44元；最近交易2025-12-24 16:35:05；同社区=是；双向关系0条",,,,,,,
LINK-051,A,A00045,A00062,3,A00045 → A00074 → A00056 → A00062,272,4422246717.18,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计272笔；累计绝对金额4,422,246,717.18元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-051,B,A00045,A00062,3,A00045 → A00074 → A00056 → A00062,272,4422246717.18,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计272笔；累计绝对金额4,422,246,717.18元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-052,A,A00004,A00067,2,A00004 → A00079 → A00067,34,24690187.200000003,2025-12-24T16:35:05.000,是,1,"2跳关系；路径累计34笔；累计绝对金额24,690,187.20元；最近交易2025-12-24 16:35:05；同社区=是；双向关系1条",,,,,,,
LINK-052,B,A00004,A00067,2,A00004 → A00079 → A00067,34,24690187.200000003,2025-12-24T16:35:05.000,是,1,"2跳关系；路径累计34笔；累计绝对金额24,690,187.20元；最近交易2025-12-24 16:35:05；同社区=是；双向关系1条",,,,,,,
LINK-053,A,A00045,A00025,3,A00045 → A00074 → A00056 → A00025,194,18324853613.33,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计194笔；累计绝对金额18,324,853,613.33元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
LINK-053,B,A00045,A00025,3,A00045 → A00074 → A00056 → A00025,194,18324853613.33,2025-12-31T15:32:57.000,是,3,"3跳关系；路径累计194笔；累计绝对金额18,324,853,613.33元；最近交易2025-12-31 15:32:57；同社区=是；双向关系3条",,,,,,,
